Airport,Departing,Arriving
EWR,25.00,25.00
LGA,27,23
JFK,24,19
ORD,16,22
PHL,18,15
MDW,13,14
SFO,10,14
IAD,13,8
CLT,10,9
IAD,13,8
CLT,10,9
DTW,9,8
BOS,12,4
DFW,5,11
DCA,11,5
BWI,10,5
ATL,7,7
FLL,7,5
MSP,5,5
DEN,3,6
IAH,4,5
LAX,2,5
MCO,4,3
SEA,2,5
PHX,2,4
LAS,3,2
TPA,2,0
MIA,1,0
SLC,0,1
SAN,1,-1
PDX,-3,0
HNL,-6,-7
